1,1,1,2
2,1,2,2
3,1,3,2
4,1,4,1
5,2,1,2
6,2,2,2
7,2,3,2
8,2,4,1
9,3,1,1
10,3,2,1
11,3,3,1
12,3,4,1
13,4,1,2
14,4,2,1
15,4,3,1
16,4,4,1
17,5,1,2
18,5,2,1
19,5,3,1
20,5,4,2
21,6,1,2
22,6,2,2
23,6,3,1
24,6,4,1
25,7,1,1
26,7,2,1
27,7,3,1
28,7,4,1
29,8,1,1
30,8,2,1
31,8,3,2
32,8,4,1
33,9,1,2
34,9,2,2
35,9,3,1
36,9,4,1
37,10,1,1
38,10,2,1
39,10,3,1
40,10,4,1
41,11,1,1
42,11,2,2
43,11,3,1
44,11,4,2
45,12,1,2
46,12,2,2
47,13,3,1
48,13,4,2
49,14,1,1
50,14,2,2
51,15,3,1
52,15,4,2
53,16,1,1
54,16,2,2
55,17,3,1
56,17,4,1
57,18,1,1
58,18,2,2
59,19,3,2
60,19,4,2
